GI2.all.exon	264.98	167016.0
OMIM.all.exon	297.35	168736.0
HI1.all.exon	345.52	180980.0
Prot-cod.all.exon	5457.18	484684.0
All-genes.all.exon	5847.83	497876.0
Decipher-gain.all.exon	0.73	81784.0
GI3.all.exon	1054.66	240364.0
HI2.all.exon	302.81	170700.0
HPO-rec.all.exon	48.49	113488.0
CGD-rec.all.exon	61.88	118440.0
Essential.all.exon	239.06	161420.0
HPO-dom.all.exon	34.09	107232.0
Cancer-loss.all.exon	10.91	94992.0
embryonic-lethal.all.exon	7.56	92184.0
HI3.all.exon	1203.17	261432.0
GI1.all.exon	551.9	208264.0
Paralogs.all.exon	2.7	85816.0
phen.all.exon	1509.09	292576.0
Cancer-gain.all.exon	0.91	81024.0
Decipher-loss.all.exon	1.11	82180.0
ISCA-gain.all.exon	1.18	82264.0
CGD-dom.all.exon	23.79	103320.0
No-phen.all.exon	1348.4	273280.0
Curated-gain.all.exon	3.31	87008.0
Curated-loss.all.exon	25.15	102648.0
ISCA-loss.all.exon	8.04	88980.0
Non-cod.all.exon	12.28	96512.0
